MOF Name,Ref Code,Reference
Zn[Fe(CN)5imidazole]·H2O<|>3,ILUSIS,10.1021/ic101447q
DUT-116(Cu)<|>DUT-71 derivative,VAMYEQ,10.1021/acs.cgd.7b00184
Mn2(H2O)[O2C(CH2)3CO2]2<|>MnDC-3,EHISIX,10.1021/cm010219s
compound 1<|>1,VETTOE,10.1021/cg060520r
compound 3<|>3,VETVAS,10.1021/cg060520r
{[Cd3L2(hbmb)(H2O)2]·2.5H2O}(n2)<|>complex 2,XOGXAU,10.1021/cg500295r
(C7H21N3)0.5(H3O)[Mn(H2O)2Ga4F2(ox)(PO4)4]·4H2O<|>compound 3,FOFHEO,10.1021/cm049411v
(C5H14N2)[Mn(H2O)2Ga4F2(ox)(PO4)4]·3H2O<|>compound 4,FOFHAK,10.1021/cm049411v
(C4H16N3)[MnGa2(ox)2(HPO4)2(PO4)]<|>compound 5,FOFHUE,10.1021/cm049411v
[Co(terephthalate)(4-picoline)2(H2O)2]·2(4-picoline)<|>1<|>1a,HOMTAE,10.1021/ic9807137
[Co(terephthalate)(pyridine)2(H2O)2]·2(pyridine)·2(H2O)<|>2<|>2a,HOMTIM,10.1021/ic9807137
Cd−TPyP-3,JITFAU,10.1021/cg0705456
{[Cu2(bpz)2(CN)­I]·CH3CN}<|>3,MUHPAI,10.1021/acs.inorgchem.5b00110
{[Cu6(bpz)6(CH3CN)3(CN)3Br]·2OH·14CH3CN}<|>2,MUHNUA,10.1021/acs.inorgchem.5b00110
"[Cd2(4,4‘-bipy)(3,3‘-bpda)2]n<|>compound 1",FAZYEL,10.1021/cg0498554
"(4,4‘-H2bpy)[Ni(4,4‘-bpy)(H2O)2Ni0.5Mo6(OH)3O12(HPO4)4]·2H2O<|>compound 1",HEMTEZ,10.1021/ic060911v
MMPF-18,OSOTUN,10.1021/acs.inorgchem.6b00937
{[(phen)VIVO]2(VV2O5)(HPO4)}<|>compound 1<|>1,JABTAI,10.1021/ic026256i
UWDM-3<|>[Zn2(ADC)2(L)](DMF)MIM13,HOJLID,10.1021/ja502238a
UWDM-2<|>[Zn2(BPDC)2(L)](DMF)MIM2,HOJLUP,10.1021/ja502238a
1·Ag<|>7,PEGFAJ,10.1021/ic051690g
"Cd2(1,4-chdc)(L1)2·4H2O<|>complex 1",OTUXEH,10.1021/cg1016005
Cd2(L1)2(in)4·3DMF<|>complex 2,OTUXUX,10.1021/cg1016005
Co2(BDC)2(DPNDO)<|>Co2(BDC)2(DPNDO)[CH3OH]2.5[H2O]1.5,LOVVAV,10.1021/cg501690b
Zn2(sdb)2(bpb)<|>2⊃DMF,RIHKAW,10.1021/ic302006x
Zn2(sdb)2(bpt)<|>3⊃DMF,RIHJOJ,10.1021/ic302006x
TMOF<|>[Zn5(tz)6(DMF)4(TDC)2],OMOVET,10.1021/jacs.6b01093
Not provided,OFOJOL,10.1021/acs.jctc.7b00991
AlPO4-SOD<|>dehydrated AlPO4-SOD<|>rehydrated AlPO4-SOD,TAVQEN,10.1021/jp050763e
[Me2NH2]2[Zn2(5-hip)2]·2DMF<|>compound 2,RUGXOI,10.1021/cg501808y
[Me2NH2]2[Zn2(5-hip)2]·2DMF<|>compound 4,RUGXOI01,10.1021/cg501808y
Mn(HCO2)2·1/3(C4H8O2)<|>1·1/3dioxane<|>1,IQEWOQ,10.1021/ja038678c
ATF-1<|>ATF-1P,SOKKUZ,10.1021/ja805272j
ATF-1M,SOMFAC,10.1021/ja805272j
ATF-1,SOMFEG,10.1021/ja805272j
Fe-CAT-5,FUYCAF,10.1021/jacs.5b10999
V-CAT-5,FUYCIN,10.1021/jacs.5b10999
[(UO2)4(EDS)(OH)6(CB6)(H2O)2]·8H2O<|>complex 6,PAPZAJ,10.1021/cg201253z
[Nd(btc)(H2O)]·(H2O)0.5DMF<|>1<|>1(as),SADLEQ,10.1021/cm100503q
[Yb(btc)(H2O)]·(H2O)0.5(DMF)0.6<|>8<|>8(as),SADLIU,10.1021/cm100503q
[Nd(btc)(H2O)]<|>1(180 °C),SADLOA,10.1021/cm100503q
1·H2O<|>1·MeOH,FUVDEH07,10.1021/jacs.5b03280
1·H2O<|>1·MeOH,FUVGAG,10.1021/jacs.5b03280
1·H2O<|>1·MeOH,FUVGAG02,10.1021/jacs.5b03280
1·H2O<|>1·MeOH,FUVGAG01,10.1021/jacs.5b03280
1·H2O<|>1·MeOH,FUVFUZ,10.1021/jacs.5b03280
1·H2O<|>1·MeOH,FUVDEH08,10.1021/jacs.5b03280
1·H2O<|>1·MeOH,FUVDEH06,10.1021/jacs.5b03280
compound 2<|>crystal structure of 2<|>network 2,CUFYUZ,10.1021/jacs.5b02480
1<|>compound 1,OTIJAE,10.1021/acs.inorgchem.6b01256
{[Nd2(PDA)6Co3(H2O)6]·xH2O}<|>1<|>1a,XIPBII,10.1021/ic7007446
{[Gd2(PDA)6Co3(H2O)6]·xH2O}<|>2<|>2a,XIPBOO,10.1021/ic7007446
{[Tb2(PDA)(ox)2(H2O)4]·3(H2O)}(n6)<|>compound 6,XOJYIF,10.1021/cg800526y
{[Nd2(PDA)(ox)2(H2O)4]·4(H2O)}(n3)<|>compound 3,XOJYUR,10.1021/cg800526y
{[Sm2(PDA)(ox)2(H2O)4]·4(H2O)}(n4)<|>compound 4,XOJXUQ,10.1021/cg800526y
∞3[Cu2(H–Et–trz–ia)2]<|>compound 3<|>3,UKAKIC,10.1021/acs.inorgchem.5b02921
∞3[Cu2(Me2–trz–ia)2]<|>compound 7<|>7,UKALAV,10.1021/acs.inorgchem.5b02921
∞3[Zn2(Me2–trz–ia)2]<|>compound 8<|>8,UKALEZ,10.1021/acs.inorgchem.5b02921
∞3[Cu2(H–trz–ia)2]<|>compound 1<|>1,OHAGOV01,10.1021/acs.inorgchem.5b02921
∞3[Cu2(Et–Me–trz–ia)2]<|>compound 9<|>9,UKALID,10.1021/acs.inorgchem.5b02921
∞3[Zn2(Et–Me–trz–ia)2]<|>compound 8 Zn<|>8 Zn,UKALOJ,10.1021/acs.inorgchem.5b02921
[Fe(dpb){Ag(CN)2}{Ag2(CN)3}]·DMF·EtOH<|>1·DMF·EtOH,POHCOG,10.1021/ic403069d
CuI2CuII(5-eatz)2(CN–)(I–)<|>compound 1,QEJLOJ,10.1021/acs.cgd.7b00877
[Cd(pyip)(dmf)]<|>compound 1,KETHEY01,10.1021/cg400486q
[Cd(pyip)(doa)]<|>compound 2,CIKCOQ,10.1021/cg400486q
{[Zn(IPA)(L)]}(nCP1)<|>CP1,KATGAQ,10.1021/acs.inorgchem.6b02810
{[Cd(IPA)(L)]}(nCP2)<|>CP2,KATGEU,10.1021/acs.inorgchem.6b02810
[N(CH3)4][CuIZnII(CN)4],KEGZOL,10.1021/ja00160a038
[Cd2(dcpy)2(bipy)(H2O)3]·2.5H2O<|>5,SOCKOM,10.1021/cg401599x
[Ni(dcpy)(bpe)0.5(H2O)]·0.5H2O<|>10,SOCLUT,10.1021/cg401599x
[Ni(dcpy)(H2O)2]<|>8,SOCLED,10.1021/cg401599x
[Cd2(dcpy)2(bipy)]·4H2O<|>6,SOCLAZ,10.1021/cg401599x
[Cu2(scp11)2]·H2O<|>Compound 2,ULEGOH,10.1021/cg034052m
ZAG-6<|>ZAG materials,VONBUX02,10.1021/ja5060059
[Cu(bib)(mal)]·MeOH<|>complex 7,HERPUQ,10.1021/cg060304i
"[Ni(4,4‘-bpy)2(H2PO4)2]·C4H9OH·H2O<|>compound 1<|>1",IDEYOF,10.1021/ic0106017
Cd(HBTEC)(H2bix)0.5<|>compound 3,AGONAM,10.1021/cg8002614
Cd(BTEC)(H2mbix)<|>compound 4,AGONEQ,10.1021/cg8002614
{[(ZnI2)3(1)2]·1.4(3b)·2.2(cyclohexane)}<|>4b,FARFOU,10.1021/ja046478a
{[(ZnI2)3(1)2]·1.5(3a)·2.5(cyclohexane)}<|>4a,FARFIO,10.1021/ja046478a
{[(ZnI2)3(1)2]·(3c)·(cyclohexane)·1.5(nitrobenzene)}<|>4c,FARFUA,10.1021/ja046478a
Cu(5-iipa)(p-bix)<|>compound 4,CIKROF,10.1021/cg400033s
catena((μ3-Thiocyanato)-2-methylpyridine-copper(i)),CUGZOT,10.1021/ic00191a021
"catena((μ2-Thiocyanato)-2,6-dimethylpyridine-copper(i))",CUGZUZ,10.1021/ic00191a021
catena-((μ2-Thiocyanato)-bis(2-methylpyridine)-copper(i)),CUHBAI,10.1021/ic00191a021
TO-MOF<|>1,LURGEL,10.1021/ja904189d
compound 1,AXUBOL,10.1021/cg200579j
"Li2(2,6-NDC)<|>ULMOF-1",AHEMOQ,10.1021/cg8014157
[Zn4(bdc)2(l-ser)2)]·6DMF<|>1-L,RAPYOY,10.1021/ic201442u
[Zn4(bdc)2(d-Ser)2)]·6DMF<|>1-D,RAPYUE,10.1021/ic201442u
[FeL32],BUHSEE,10.1021/om501218a
Catena-[Mn(Etphox)2(N3)]<|>complex 2,RUVCUH,10.1021/ic100006a
[Ag2L2(CF3SO3)2]∞<|>1,VEDVAC,10.1021/ic051357c
{[Ag2L6(CF3CO2)2.H2O].H2O}∞<|>8,VEDVUW,10.1021/ic051357c
Zn5L2(bipy)·9H2O<|>compound 2,AZOHEC,10.1021/cm0498990
[Cu2(L-2H)32]<|>1,MIKPED,10.1021/ic400829d
{[Cu­(H-L1)­Cl2]·H2O}(n1)<|>Compound 1,COBZEB,10.1021/acs.inorgchem.9b00077
[Zn3(HL)3(BTCA)]<|>6,SUWCIY,10.1021/acs.cgd.5b01133
[Zn2(HL)2(BTCA)(H2O)]·H2O<|>5,SUWCEU,10.1021/acs.cgd.5b01133
compound 1<|>1<|>1a,BECHEY,10.1021/ic201702j
[Zn(TBbA)(H2O)4]·3H2O<|>compound 5,EXEMIE,10.1021/cg2007028
YCM-101<|>YCM-101′,ANAWIX,10.1021/acs.cgd.6b00488
YCM-101″,ANAWOD,10.1021/acs.cgd.6b00488
[Cu3(L)2(DABCO)(H2O)]·15H2O·9DMF<|>Complex 1<|>1a,MAYKOO,10.1021/ic300950h
[Ln2(MELL)(H2O)6]<|>(2)<|>Tb3+-based material,EPUREO,10.1021/jp9022629
[Co(bpp)Cl2]<|>6Co,YOCZOG01,10.1021/cg900985w
(CH3)2NH2[Eu(pydc)2]·1/2H2O<|>1a,GUXSEY,10.1021/cg8004932
(CH3)2NH2[Er(pydc)2]·1/2H2O<|>1b,GUXSIC,10.1021/cg8004932
[Gd2(TTHA)(H2O)4]·9H2O<|>complex 3,FUTZOK,10.1021/cg900518s
{[Mn3(μ5-L)2(H2O)6]·4H2O}<|>compound 8,AQUKII,10.1021/acs.cgd.6b00735
"{[Co3(μ4-L)2(μ2-4,4′-bipy)­(H2O)6]·2H2O}<|>compound 9",AQUKOO,10.1021/acs.cgd.6b00735
1<|>compound 1,PEGCIP,10.1021/ja3059827
[KNd(suc)0.5(ox)1.5(H2O)]·H2O<|>Complex 4,KOMJOM,10.1021/cg800294c
[KGd(suc)0.5(ox)1.5(H2O)]·H2O<|>Complex 7,KOMJUS,10.1021/cg800294c
La(HL)2(NO3)(H2O)2<|>Complex 1<|>Compound 1,VIXMIA,10.1021/cg401022z
Cd(L)<|>Complex 5<|>Compound 5,VIXNEX,10.1021/cg401022z
Zn(L)<|>Complex 6<|>Compound 6,VIXNIB,10.1021/cg401022z
[((en)Pt(nic)2)3Cu5(OH)2(OH2)68]n<|>3,GUVCOP,10.1021/ic0204777
{[Cd2(abtc)­(DMA)2]·2(DMA)}(n5)<|>5,DUDKUK,10.1021/ic502488c
{[NH2(CH3)2]­[Co3(COOH)2.5(abtc)(H2O)2]2·H2O}(n2)<|>2,DUDKEU,10.1021/ic502488c
{[Zn3(abtc)1.5­(DMF)3]·1.75(DMF)}(n3)<|>3,DUDKOE,10.1021/ic502488c
{[Zn2(abtc)­(H2O)0.75(DMA)0.5]·3(DMA)(H2O)}(n4)<|>4,DUDKIY,10.1021/ic502488c
Compound 3<|>3,TUZNOS,10.1021/ja104083y
Ni(pyz)V4O10<|>II,XEHYAL,10.1021/ic0604563
Zn(pyz)V4O10<|>III,XEHYEP,10.1021/ic0604563
Cd­(HL)­(DMF)<|>Compound 1,RAWVUJ,10.1021/acs.cgd.6b01768
Zn5(H2O)2(C2H2N3)4(C8H4O4)3·3.9H2O<|>Structure 1,LEGGOU,10.1021/cm051829l
Zn2(C2H2N3)2(C2H3N3)(C8H4O4)·2H2O<|>Structure 2,LEGGEK,10.1021/cm051829l
Zn4(H2O)2(C2H2N3)4(C8H4O4)2·14H2O<|>Structure 3,LEGGIO,10.1021/cm051829l
[Cu2L(H2O)2]·13DMF<|>5,EFAYEQ,10.1021/ic8003855
[Zn2L(H2O)2]·12DMF<|>6,EFAYIU,10.1021/ic8003855
"Co(HCOO)2(4,4‘-bpy)·5H2O<|>3·Co",FIFNUE,10.1021/ic049170t
"Ni(HCOO)2(4,4‘-bpy)·5H2O<|>4·Ni",FIFPAM,10.1021/ic049170t
{[Co(pyip)(H2O)]·H2O}(n2)<|>2,LAZMIK,10.1021/cg300237e
1a<|>compound 1,GOSKEG,10.1021/ja509446h
Co(BDP)·2DEF·H2O<|>Co(BDP)<|>1<|>1d,COJHIT,10.1021/ja8024092
JUC-118<|>[Zn4(TIAPy)·(DMSO)2·(H2O)4]·(Guest),FIZPOV,10.1021/cg401887b
Ni2(H2O)2(O3PC2H4PO3)<|>II,JEXPEI,10.1021/ic0618302
MnII(HO3P(CH2)2PO3H)<|>IV,JEXPOS,10.1021/ic0618302
Mn(Ph2T3DC)(DMF)2<|>compound 5,MINJOK,10.1021/ic401305c
FJU-53-Cl<|>{(Cu­(Btz)­Cl]·Cl·6H2O·0.25DMSO},XANZAQ,10.1021/acs.cgd.7b00060
FJU-53-Br<|>{(Cu­(Btz)­Br]·Br·6H2O·0.25DMSO},XANMUX03,10.1021/acs.cgd.7b00060
Cu(TINM)(NO3)2<|>Compound 1,IKOSOQ,10.1021/ic034246r
[Cu2(L1)4][Mo8O26]<|>compound 5,DUCGEO,10.1021/ic900128t
"{[Zn7(trz)6(1,3-bdc)4(H2O)2]·2H2O}<|>compound 1",XOVVEK,10.1021/cg701164u
{[Zn7(trz)6(hip)4(H2O)2]·8H2O}<|>compound 2,XOVVIO,10.1021/cg701164u
Zn4(trz)4(Hnip)2(nip)<|>compound 3,XOVVOU,10.1021/cg701164u
"(2,5-Cl2-DCNQI)2Cu<|>KARRIE",KARRIE,10.1021/ja00196a032
"(2,5-(CH3O)2-DCNQI)2Cu<|>KARPIC",KARPIC,10.1021/ja00196a032
"(2,5-Br2-DCNQI)2Cu<|>KARRAW",KARRAW,10.1021/ja00196a032
[Zn3(btca)2(OH)2]·(DMF)<|>compound 1,MUGHED,10.1021/acs.jpcc.5b02359
{[Er2(PDC)3(DMF)2]·n(solv)}∞<|>1,SERJOP,10.1021/ic061095u
{[Y2(PDC)3(DMF)2]·n(solv)}∞<|>2,SERJUV,10.1021/ic061095u
{[Er2(PDC)3]}∞<|>3,SERKAC,10.1021/ic061095u
{[Zn(cpds)]·H2O}(n1)<|>compound 1,OVICUS,10.1021/cg101433t
{[Zn(cpds)(bpa)0.5]}(n2)<|>compound 2,OVIDAZ,10.1021/cg101433t
{[Zn(cpds)(bpp)]}(n3)<|>compound 3,OVIDED,10.1021/cg101433t
{[Cd2(cpds)2(bpp)·(H2O)3]·4H2O}(n5)<|>compound 5,OVIDON,10.1021/cg101433t
La4(H2L)4(H3L)4(H2O)4·20H2O<|>compound 1,WEVZUT,10.1021/cg060590y
[{SiW11O39Cu(H2O)}{Cu2(bpy)2(μ-ox)}]n4n-<|>compound 4,CECCET,10.1021/ic051134m
{[Dy2(FDA)3(DMF)2]·2.2DMF}<|>MOF1′,QUZVEO,10.1021/acs.inorgchem.5b01356
{[Dy2(FDA)3(DMF)2]·1.5DMF}<|>MOF1,YUSWEQ,10.1021/acs.inorgchem.5b01356
Dy2(FDA)3(DMF)2(CH3OH)<|>MOF2,YUSWIU,10.1021/acs.inorgchem.5b01356
{[Cd3(BCPBA)2·(DMA)2·(H2O)5]·7H2O·2DMA}(n1)<|>compound 1,MICCIM,10.1021/cg400015v
{[Mn3(BCPBA)2(DMF)2(H2O)2]·2DMF·9H2O}(n5)<|>compound 5,MICDEJ,10.1021/cg400015v
{[Cd3(BCPBA)2(L2)·(H2O)3(DMF)2]·2DMF}(n3)<|>compound 3,MICCUY,10.1021/cg400015v
[Zn4(μ3-OH)2(TPO)2(H2O)2]<|>complex 1,NIYZIG,10.1021/ic402481b
[Cd(NDC)0.5(PCA)]·G<|>compound 1<|>1A<|>1B<|>1C,HAWYUB,10.1021/ic202102m
1<|>compound 1,QUTYAG,10.1021/cg9010136
2<|>activated 2<|>DMA@2,MIDCAF,10.1021/ic301707h
1<|>1′,ILAXEA,10.1021/acs.inorgchem.6b00433
rac-8<|>Cs2[(NapP2O2)2],AYERAX,10.1021/ic035364h
[Mn3(C14H8O6S)3(DMA)2(MeOH)]·DMA<|>IIa,PUGHAC,10.1021/ic5018517
[Mn3(C14H8O6S)3(DMA)2(Xsolvent)]·DMA<|>IIb<|>IIc<|>IId<|>IIe,PUGFII,10.1021/ic5018517
[Mn4(C14H8O6S)4(DMA)2]·3DMA<|>I,PUGGOP,10.1021/ic5018517
[CoMn2(C14H8O6S)3(DMA)2(EtOH)]·DMA<|>III,PUGFOO,10.1021/ic5018517
{[Ag­(L1)­(NO3)]·0.5C6H6}(n3)<|>complex 3,KIJRIG,10.1021/cg400025j
[Fe(aqin)2(μ2-Ni(CN)4)]<|>compound 1,NOBRUT01,10.1021/ic401721x
[Fe(aqin)2(μ2-Pt(CN)4)]<|>compound 2,NOBWIM,10.1021/ic401721x
[Ag2I2(Me2pipdt)]n<|>polymeric complex 4,UTOQUQ,10.1021/cg1015065
Ag2L2(NO3)2<|>compound 2,PAPXAH,10.1021/cg201222a
Ag2L1(NO3)2<|>compound 1,PAPWUA,10.1021/cg201222a
[CuII5(L1)2Cl10]<|>compound 5,HAXGUL,10.1021/acs.inorgchem.6b03084
(L-aspartato)(imidazole)copper(II) dihydrate,BACMOH10,10.1021/ic00136a027
UMCM-1-NH2<|>UMCM-1,HOMXIR,10.1021/ic801837t
C11H14N4O16LaZn2<|>compound 1,EVUMUE,10.1021/cg1015753
C11H14N4O16NdZn2<|>compound 2,EVUNAL,10.1021/cg1015753
C11H14N4O16SmZn2<|>compound 3,EVUNEP,10.1021/cg1015753
C11H14N4O16EuZn2<|>compound 4,EVUNIT,10.1021/cg1015753
2<|>NbO topology,AWEWOP,10.1021/cg200183x
[Co­(L)­(phen)]·H2O<|>compound 8,HEFBEB01,10.1021/cg300540d
[Cd­(L)­(phen)]·H2O<|>compound 10,HEFBOL,10.1021/cg300540d
[Y(H2hedp)(H2O)]·3H2O<|>3a,NIXFIK,10.1021/ja074119k
[Nd2(TDC)3(e-urea)4]·3(e-urea)<|>compound 8,HAWWIN,10.1021/ic201986m
[Dy(TDC)2]·(choline)<|>compound 6,HAWWAF,10.1021/ic201986m
[Eu(TDC)2]·(choline)<|>compound 3,HAWVIM,10.1021/ic201986m
[Gd(TDC)2]·(choline)<|>compound 1,HAWVAE,10.1021/ic201986m
[Er(TDC)2]·(choline)<|>compound 4,HAWVOS,10.1021/ic201986m
[Tb(TDC)2]·(choline)<|>compound 5,HAWVUY,10.1021/ic201986m
{CuL1(H2O)(SO4)2}n<|>3,ERUFOM,10.1021/ic034999d
{CdL1(NCS)21.5}n<|>4,ERUFUS,10.1021/ic034999d
[Cu(3-PYA)]n<|>1,CAHJOL,10.1021/om001033q
{[(2-PYA)Cu(I)]·(H2O)}n<|>2,CAHJUR,10.1021/om001033q
[C4N2H12][Ni2F4(SO4)H2O]<|>Compound II,AYUPOZ,10.1021/ic035488u
{[Cd­(DPBT) (BDC)]·2­(H2O)}(n1)<|>compound 1,AJUNOK,10.1021/acs.cgd.5b00681
{Mn(II)0.5[Mn(II)4Cl(Mn(III)Cl-ttzpp)2(H2O)4]}·(DEF)20·(CH3OH)18·(H2O)12<|>UTSA-57,DOZCEC,10.1021/ic502116k
"{[Co4(2,2‘,3,3‘-odpa)2(bpy)4(H2O)4]·(H2O)14}<|>Compound 3<|>3",SEHZUB,10.1021/ic0520418
"{[Ni4(2,2‘,3,3‘-odpa)2(bpy)4(H2O)4]·(H2O)16}<|>Compound 2<|>2",SEJBAL,10.1021/ic0520418
"[Eu2(1,3-BDC)3(phen)2(H2O)2]n·4nH2O<|>2",IKAYAU,10.1021/ic034258c
UWDM-1<|>(22)UWDM-1,EBIZUN,10.1021/jacs.5b04674
[MnSe(pda)0.5]<|>Compound 2,MICDOR,10.1021/cm010403d
[MnSe(en)0.5]<|>Compound 1,MICDIL,10.1021/cm010403d
Mn3(HCOO)6<|>Mn3(HCOO)6(CH3OH),JIXWUJ,10.1021/ja0665390
Mn3(HCOO)6<|>Mn3(HCOO)6(CH3OH),JIXWUJ01,10.1021/ja0665390
[Ba(OMc)2(McOH)3]<|>compound 2,EDEXER,10.1021/ic0615630
C12H20O6Sn2<|>compound 1,QIQREN,10.1021/om0002531
"1b<|>catena-((μ2-2-(((3-t-butyl-2-oxy-5-nitrophenyl)methylene)amino)-3,3-dimethylbutanoato)-copper(ii))",ROBNEC,10.1021/ic800228c
"1c<|>catena-((μ2-2-(((3-t-butyl-2-oxy-5-bromophenyl)methylene)amino)-3,3-dimethylbutanoato)-copper(ii))",ROBNIG,10.1021/ic800228c
[KZn(O3P(CH2)4PO3H)]<|>6,ODOJIB,10.1021/cg060833m
[NaZn(O3P(CH2)2PO3H)]<|>1,ODOJAT,10.1021/cg060833m
Cu3[(Cu4Cl)3(TPT-3tz)8]2<|>4,BIWSOQ,10.1021/ic701917w
[Ag2L4(CF3SO3)2]∞<|>6,BEGJIH,10.1021/ic034454j
1<|>Compound 1,QUSHUJ,10.1021/acs.inorgchem.5b01738
Sm-1<|>{Sm2(cam)2(bdc)(H2O)2}·DMF,EXABUB,10.1021/ic1007445
Gd-3<|>{Gd2(cam)2(bdc)(H2O)2}·DMF,EXACEM,10.1021/ic1007445
Tb-4<|>{Tb2(cam)2(bdc)(H2O)2}·DMF,EXACIQ,10.1021/ic1007445
Dy-5<|>{Dy2(cam)2(bdc)(H2O)2}·DMF,EXACOW,10.1021/ic1007445
Ho-6<|>{Ho2(cam)2(bdc)(H2O)2}·DMF,EXACUC,10.1021/ic1007445
Er-7<|>{Er2(cam)2(bdc)(H2O)2}·DMF,EXADAJ,10.1021/ic1007445
Silver 1-Methyl-5-nitriminotetrazolate<|>Compound 3,JOHVAE,10.1021/cm8004166
C12H12CoO6<|>compound 3,QUBHAX01,10.1021/ic200592s
{[Zn­(H2BTTB)]·(DEF)3·(H2O)2}<|>compound 2,MIFKUJ,10.1021/cg3013393
{[Mg­(H2BTTB)·(C2H5OH)2]·(DEF)4}<|>compound 3,MIFLIY,10.1021/cg3013393
[Zn4{Si(C6H4CO2)4}2(H2O)5]·(DMA)5.5·(H2O)0.5<|>Compound 1,BOLPAU,10.1021/ic801174d
Zn2{MeSi(C6H4CO2)3}(OH)(DEF)2<|>Compound 2,BOLPEY,10.1021/ic801174d
[Zn1.5{Me2Si(C6H4CO2)2}(OH)]·DMF<|>Compound 3,BOLPIC,10.1021/ic801174d
1<|>1•2(CH4),RAQJAV01,10.1021/ic048759p
{[Znn4L4(TPA)4]·(DMF)·16H2O}<|>MOF 2,RAWZIB,10.1021/acs.cgd.7b00502
{[Cd2L2(TPA)2]·12H2O}<|>MOF 1,RAWZEX,10.1021/acs.cgd.7b00502
{[Co(ebic)2]·H2O}<|>2·H2O<|>2,PUDGIG,10.1021/ic502650z
{[Zn(ebic)2]·EtOH}<|>1·EtOH<|>1,PUDFOL,10.1021/ic502650z
{[Mn2(μ-pmdc)2(H2O)5]·2H2O}<|>compound 2,GOBXAX,10.1021/ic8002788
[Co2(bpeb)­(sdb)2]·dcb<|>5,ASOGEW,10.1021/acs.cgd.6b01431
[H2bipy]2[(UO2)6Zn2(PO3OH)4(PO4)4]·H2O<|>UZnP-2,NOKJON,10.1021/ic801125w
[Zn2(tptc)(apy)2–(Hx2O)]·Hx2O<|>1,EXECAN,10.1021/acs.inorgchem.6b01312
2Ag2C2·3AgCN·15CF3CO2Ag·2AgBF4·9H2O<|>quadruple salt 1<|>compound 1,QEZXEY,10.1021/ja0028727
La2(BTA)1.5(ox)1.5(H2O)3<|>Complex 1,ONIROU,10.1021/acs.cgd.6b00540
TbCP<|>Complex 8,ONITEM,10.1021/acs.cgd.6b00540
MIL-53(Al)<|>MIL-53ht<|>o-xylene,EHALOP,10.1021/ja802761z
MIL-53(Al)<|>MIL-53as<|>p-xylene,EGELUY,10.1021/ja802761z
MIL-53(Al)<|>MIL-53ht<|>p-xylene,EGELUY01,10.1021/ja802761z
catena-(bis(μ2-Iodo)-(μ2-tetrakis(methylthio) tetrathiafulvalene)-di-copper(i)),GEHSER01,10.1021/ic00114a032
Bi(H2DTPA)·2H2O<|>6,TOXJOF,10.1021/ic951326p
"{[Zn­(1,4-bib)­(3-mglut)]·(4H2O)}(n5)",IDULEB,10.1021/acs.cgd.8b00664
"{[Zn­(1,4-bib)­(2,2′-dmglut)]·(2H2O)}(n6)",IDULIF,10.1021/acs.cgd.8b00664
[Cd(L)(bipy)(H2O)2]<|>compound 1,RAVLUX,10.1021/cg300029d
[Cd(L)(bipy)0.5]·0.5H2O<|>compound 3,RAVMEI,10.1021/cg300029d
{[Co­(adi)­(iso-nia)2]·dmf}<|>compound 1<|>1,UZEBOS01,10.1021/acs.cgd.6b01226
[{Cu(μ-L1)(μ-oxalate)}·3H2O]<|>1b,UPOQUM,10.1021/cg101078f
C6H7MnN9O<|>complex 1<|>Mn(L)(N3)2,BUHDAL,10.1021/acs.inorgchem.5b01061
"[Zn2(PDCO)2(4,4‘-bpy)2(H2O)2·3H2O]n<|>Compound 2",CAYCOV,10.1021/ic0509985
[GdIII4CoIICoIII(μ3-OH)3(μ3-O)(pydc)6(H2O)5]·8H2O<|>compound 2,FOXNIQ,10.1021/cg800575f
[Mg2(APDA)2(H2O)3]·5DMA·5H2O<|>Mg-APDA,LIQHAX,10.1021/acs.inorgchem.8b01903
[UO2(NO3)2(L1)]<|>compound 1,PEGHOB,10.1021/acs.inorgchem.7b02250
[UO2(NO3)2(L2)]<|>compound 2,PEGHUH,10.1021/acs.inorgchem.7b02250
{[Nd3(ATPT)3(HATPT)3]·9H2O}<|>complex 2<|>2,KAVJEX,10.1021/cm050526o
{[Zn(PA)(bpe)]·DMF}<|>compound 2,YARBIE,10.1021/cg2008057
{[Ni2(PA)2(bpp)2(H2O)3]·2DMF}<|>compound 5,YARBUQ,10.1021/cg2008057
{[Ni(PA)(bpe)(H2O)2]·DMF}<|>compound 1,YARBAW,10.1021/cg2008057
[Ho2(C6H8O4)3]<|>compound 7,XUMSOP,10.1021/cg401006d
(3a·HgI2)∞,DAXPAV,10.1021/cg201625c
LIFM-40,ASOVEL,10.1021/acs.inorgchem.6b00429
Cu(HCO2)2(pym),FIVJAW,10.1021/ic048723x
Compound 4<|>Ag2(L8)2(H2PO4)2,NETQEJ,10.1021/cg060158g
{[MnII(urea)2(H2O)]2[NbIV(CN)8]}α<|>noncentrosymmetric α,UVEWIC,10.1021/cm102388q
{[MnII(urea)2(H2O)]2[NbIV(CN)8]}β<|>centric β,UVEWIC01,10.1021/cm102388q
JUC-70,HOWQOA,10.1021/cg8009546
JUC-67,HOWQAM,10.1021/cg8009546
JUC-68,HOWQEQ,10.1021/cg8009546
JUC-65,HOWPOZ,10.1021/cg8009546
JUC-66,HOWPUF,10.1021/cg8009546
[Y­(tbpp)]·nDMF<|>1,REDMUL,10.1021/acs.inorgchem.7b01574
