MOF Name,Ref Code,Property,Value,Condition,Summary,Reference
[H3O]2[Mn7(μ3-OH)4(C14H8O6S)6(H2O)4](H2O)2(DMF)8<|>Compound II,WITJUG,Water Stability,Stable,,"The PXRD studies of the compounds heated at these temperatures indicated that the solids retain their crystallinity, suggesting that the gross structure remains largely unaltered. Both the compounds exhibited a slow but gradual uptake of water reaching a value of 160 mL/g (equivalent to 8 mol H2O/mol of I) and 200 mL/g (equivalent to 19 mol H2O/mol of II) at p/po= 0.9 (Figure). The water adsorption isotherm was completed over a period of 30 h.",10.1021/cg401587r
{[Pr(H2L)(C2O4)(H2O)]·3H2O}∞<|>compound 2,BEFQOU,Water Stability,Stable,,"The XRD patterns indicate that the structure of compound2 can be kept after heating at 120 °C, and the structure transformation occurs at 200 °C. Interestingly, when the calcined samples at 200 °C were suspended in water overnight, and then, the solid was filtered off and dried at room temperature, the same XRD patterns as those of the original crystal were regenerated. Thus, the dehydrated solids of these compounds may be potential reversible adsorbent materials for water molecules.",10.1021/cg300351t
{[Cd1.5(TPO)­(bipy)1.5]·3H2O}<|>3,LEKPEZ,Water Stability,Stable,,"1. ""Furthermore, to investigate the water, organic solvent, and even acidic or basic resistance property, 3 was examined after being soaked in aqueous solutions, a variety of organic solvents (DMF, CH3CN, CH3OH, THF, or CHCl3), and pH 2–10 aqueous solutions at room temperature for 24 h. As shown in Figure, powder X-ray diffraction (XRD) patterns remained almost intact under the treatment of not only water and diverse solvents but also HCl or NaOH aqueous solutions, suggesting that crystal structure and crystallinity of 3 could be kept and that no phase transition or framework collapse occurs."" 2. ""The single-crystals of 3 have the good humid resistance property and can remain unchanged in air for a long time.""",10.1021/acsami.7b04265
{[Ag4(L3)(H2O)2]·1.3H2O}∞<|>compound 3,MAYPIM,Water Stability,Stable,,"1. Compound 3, also with a cross-linked 1-D structure, shows a greater loss of order upon heating than the other two solids reported here. That said, the compound does still display peaks, albeit broadened, in the PXRD at lower values of 2θ consistent with the parent structure.
2. In the case of compound 3, water uptake was considerably slower but also reached a stoichiometric amount.
3. All three compounds, however, showed the ability to resorb water when subjected to water vapor.",10.1021/ic0513888
Mn2(H2O)5Mo(CN)7·4H2O<|>α phase,NUXWAG,Water Stability,Unstable,,"The compound was unstable with respect not only to oxidation but to dehydration as well. Under vacuum, water molecules, probably the noncoordinated ones, are released, and the magnetic properties are strongly modified. The structure of the partially dehydrated material is not known, so that it is not possible to explain this evolution between initial and partially dehydrated compounds.",10.1021/ja9739953
[(Cu2I2)­Cu2(C11H7N2O2)4]·(DMF)7.4(H2O)4.6<|>2,KADLOT,Water Stability,Stable,,The as-synthesized green hexagon-like crystals are insoluble in water and common organic solvents.,10.1021/acs.cgd.5b01307
[(Cu2I2)­Cu2(C11H7N2O2)4]·(NMP)6.4(H2O)2.4<|>3,KADLUZ,Water Stability,Stable,,The as-synthesized green crystals are insoluble in water and common organic solvents.,10.1021/acs.cgd.5b01307
{Zn(ox)(py)2·H2O}(n1)<|>{Zn(ox)(py)2·H2O}(n2),PAGQEU,Water Stability,Stable,,The compounds are stable in air and insoluble in water or in common organic solvents. High yields of the products indicate that they are thermodynamically stable under the prevailing reaction conditions.,10.1021/ic049490c
|(H3O)1.5(H2O)3|[Cd2K0.5(C4N3O4)2(H2O)]<|>compound 1,PEJMOI,Water Stability,Stable,,The as-synthesized compound 1 was insoluble in water and common organic solvents.,10.1021/cg301041n
TCuI<|>TMBP·CuI,NOFQIK,Water Stability,Stable,,"The open framework of TCuI as formed contains no solvent guests, and therefore no activation step is needed to generate the permanent microporous property. Moreover, the solid sample of TCuI is stable in air and can be immersed in water for days without degrading or decomposition. The TCuI compound therefore stands out as a robust MOF system that efficiently removes I2 from aqueous solutions.",10.1021/ic500677t
TCuI·ICl,NOFQOQ,Water Stability,Unstable,,ICl decomposes in water.,10.1021/ic500677t
[Cu2(L)2(SO4)(Br)2]·4H2O<|>1′,SETDUS,Water Stability,Unstable,,"1. ""Additionally, 1′ will fully revert to 1 upon resolvation when a few drops of water are added onto the sample. This reversible process could be repeated multiple times without apparent crystallinity change.""
2. ""Attempts at forming 1 from 1″ through the use of water vapor were unsuccessful, and it was determined that only liquid water allowed for successful reformation of 1.""
3. ""Finally, if a sample of 1″ is left in water for 1 h, adsorption of water allows for reformation of blue 1 based on PXRD measurements.""",10.1021/ic3026304
Ga-fumarate<|>Ga-fumarate–H2O<|>Ga-fumarate­(as),AGEDIC,Water Stability,Stable,,"The structural stability and rigidity of Ga-fumarate were also investigated. Activated Ga-fumarate was immersed in various solvents for 7 days and then allowed to dry. The pXRD patterns after solvent exposure remain well-defined and are quite similar (Figure S5a). This result is a clear indication that Ga-fumarate is chemically robust, retaining its structure and high degree of crystallinity after solvent treatment. Powder XRD experiments were also used to compare Ga-fumarate to its structural analogue, the flexible MIL-53, which exhibits distinct pXRD patterns depending on the guest (i.e., DMF versus H2O). Our experimental pXRD patterns of Ga-fumarate­(as) and Ga-fumarate–H−2O are generally similar (Figure), confirming that Ga-fumarate is rigid.",10.1021/acsami.8b08562
ε2(biphen)<|>C138H258Mo24N6O98P2Zn8,VOYGOH,Water Stability,Stable,,The absence of significant changes on the IR spectra and powder X-ray diffraction patterns of ε(bim)2(trim) (taken as a representative example of the family) stirred for 48 h in the electrolyte solutions confirms the absence of decomposition of the POMOFs in these aqueous media (2/3 Figure SI17).,10.1021/cg501524a
[La(Hcit)(H2O)]<|>polymeric lanthanum citrate<|>compound 1,WAJCAM,Water Stability,Stable,,The compound is insoluble in most common solvents.,10.1021/ic049165p
{[Cu0.5(bpdado)0.5(bpa)0.5]·3H2O}<|>1,MEQTIO,Water Stability,Stable,,"1. ""In addition, 1 and 2 show good chemical stability. Their stability toward water is one of the main challenges in applying porous complexes as gas adsorbents, and the experiment results demonstrate that the framework integrity of 1 and 2 could be retained in water at room temperature at least for 2 weeks (Figure S9 in the Supporting Information).""",10.1021/acs.inorgchem.7b02844
{[Cu0.5(bpdado)0.5(bpe)0.5]·3H2O}<|>2,MEQPUW,Water Stability,Stable,,"Their stability toward water is one of the main challenges in applying porous complexes as gas adsorbents,and the experiment results demonstrate that the framework integrity of1and2could be retained in water at room temperature at least for 2 weeks (Figure S9in the Supporting Information).",10.1021/acs.inorgchem.7b02844
[Dy2(tdc)3(H2O)4]<|>complex 1,CIYZAM,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/cg7011342
[Ho2(tdc)3(H2O)4]<|>complex 2,CIYZEQ,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/cg7011342
[Er2(tdc)3(H2O)4]<|>complex 3,CIYZIU,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/cg7011342
[Cu(pymo)2]·NH4ClO4<|>1·NH4ClO,QEFNAQ,Water Stability,Unstable,,"1. When 1·NH4ClO is exposed to deionized water, it loses NH4ClO4 guests with a concomitant phase change to give 1. 
2. When 1 is exposed for 48 h to a 0.1 M NH4ClO4 solution, it gives 1·NH4ClO4.",10.1021/ja002624a
1<|>network 1<|>compound 1,YICDAR,Water Stability,Unstable,,After immersion in water the PXRD showed a shift in the peaks. This indicates some changes to the crystals,10.1021/cg4000318
Mn(NDC)(DEF)<|>1,PEQWAK,Water Stability,Unstable,,"1. ""Because 2 contains accessible coordination sites on MnII, it adsorbs water vapor when solid 2 is exposed to water vapor for 3 days, which results in a XRPD pattern that is different from either 1 or 2. The shift of the peak at 2θ = 8.8° in 2 to a lower angle region (7.6°) indicates the expansion of the channel size upon exposure to water vapor.""
2. ""It is assumed that a water molecule coordinates to the vacant coordination site of each MnII, and one water molecule per formula unit of 2 is included in the channel, which gives rise to a framework structure different from either 1 or 2.""",10.1021/ic0611948
C10H8Dy2N4O14S<|>3Dy,LAZVOZ,Water Stability,Stable,,"CPs-1Ln, CPs-2Ln, and CPs-3Ln exhibit good stability under ambient conditions and are insoluble in water and common organic solvents.",10.1021/cg300476e
C10H8Yb2N4O14S<|>3Yb,IDATOY01,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/cg300476e
MOF1a<|>C12H19N2O3Cd1Cl1,HEBJUV,Water Stability,Stable,,"All six MOFs reported herein exhibit excellent H2O sustainability verified by well matched simulated and humidified PXRD patterns. We have explored the H2O sorption isotherm of the MOF1a,2a,2b, and3a(Figure), which reveals its possible application as a desiccant material like a molecular sieve and silica gel. All these MOFs show sorption hysteresis, confirming the hydrophilic interaction between the polar pore surface and the solvent water molecules. Among these MOFs, MOF1apossesses the most hydrophobic pore with dangling isopropyl chain poking within the molecular cavity. It justifies the low water uptake (∼90 cm3(STP) g–1) even up to aP/P0value of 0.8. However, at higherP/P0values (0.8–1.0), the pore condensation of the water molecules occur on the surface of the MOF1awhich is a common phenomenon for porous hydrophobic materials like BPL carbon.",10.1021/cg3008443
[Co(mpe)2(NCS)2]∞<|>crystal 1<|>network 1,IMULEH,Water Stability,Unstable,,"When the self-assembly was carried out by the diffusion of a solution of mpe in MeOH into an aqueous solution of Co(NCS)2 for several days, crystals with a block shape were raised. Thorough investigation using single crystallography and XRPD methods discloses that they are of another concomitant polymorphism involving 2 and a third topological isomer of [Co(mpe)2(NCS)2]∞, 3. The network structure in 3 has a catenane isomeric relation to that of 1. Thus, while 2-D rhombic grid layers constituting 3 are almost equivalent to those found in 1, they are not interpenetrated. Instead, they are stacked and staggered relative to each other so that the SCN groups protrude through the cavity of the adjacent sheet (Figure). In this manner, the voids are effectively filled and, consequently, a closely packed structure results. The crystal of 3 includes no solvent molecules. Variation of the assembly conditions does not significantly influence the polymorphism for the above case. However, in another attempt to obtain a pure polymorph, a mixture of 2 and 3 was immersed in refluxing water for several days, and then, only crystals of 3 were found to remain. To clarify this phenomenon, the same treatment was done with the pure crystals of 2. When they were immersed in reflux water for 12 h, a portion of them was found to be converted to 3. And, after the immersion for 2 days, their complete transformation to 3 was revealed by XRPD measurement. When the resulting powders of 3 were immersed in warm CH3OH for 2 days, any change was not observed in XRPD experiment (Figure). This phenomenon can be understood on the basis of the supposition that the porous polymorph is transformed into the energetically most favorable packing structure in the solid state.",10.1021/ic035111o
"{[Co3(IDC)2(4,4‘-bipy)3]·6H2O·DMF}<|>compound 2",KAVGAQ,Water Stability,Stable,,"The original sample and dehydrated sample of 2 were characterized by X-ray powder diffraction (XRPD) at room temperature. The patterns calculated from the single-crystal X-ray data of 2 were in good agreement with the observed ones. Compared to the original sample, the dehydrated solid obtained by heating crystals of 2 up to 180 °C shows very similar XRPD patterns as far as line positions are concerned (Figurec), but the intensity is weakened. After immersion in H2O/DMF (3:1) for 24 h, the dehydrated sample of 2 exhibits almost identical XRPD patterns to those of the original sample. These results illustrate that the main framework of 2 is retained upon removal of all the water molecules and the dehydration/hydration of 2 is reversible. Both compounds are not soluble in water and organic solvents such as methanol, ethanol, acetone, dichloromethane, toluene, DMSO, DMF, and chloroform.",10.1021/cg0501128
Cu(bta)(NH3)2·H2O<|>compound 2,QAWHEC,Water Stability,Unstable,,"Compound 2, stored on air, slowly loses the crystal-bound water.",10.1021/ic050657r
[Pr(FDA)(OX)0.5(H2O)2]·(H2O)<|>Complex 1,VAZKUE,Water Stability,Stable,,Complexes 1–10 are stable toward oxygen and moisture and almost insoluble in common organic solvent.,10.1021/cg3004036
[Er3(L)3(H2O)4]·5.64H2O<|>compound 1,PAMTII,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/cg2010425
[Tb3(L)3(H2O)4]·2H2O<|>compound 3,PAMTUU,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/cg2010425
{Co2(o-cpia)(OH)(apy)0.5}(n3)<|>complex 3,KEBKOT,Water Stability,Stable,,All the coordination polymers once isolated are stable in air and insoluble in common organic solvents and water.,10.1021/cg300330p
Co[O2C(CH2)3CO2]<|>compound 1,MEZSAL,Water Stability,Unstable,,"Compound1 (dark purple crystals) transforms slowly to an unknown pink compound in distilled water, and then produces a transparent aqueous solution pink in color.",10.1021/ic010861o
"{[Cd2(3,4-pyrdc)2(4,4′-bipy)(H2O)2]·4H2O}<|>compound 1",IROROY,Water Stability,Stable,,"The reversible structural transformations of the compounds were monitored and confirmed by IR spectroscopy, FESEM, TGA, and PXRD data. It is also worth mentioning that the dehydrated forms of all three frameworks selectively adsorb CO2 over N2 and that the adsorption study of 3′ reveals the formation of a rare amorphous MOF. Moreover, the water adsorption profiles show stepwise adsorptions in all three cases, which are attributed to their structural transformation on the basis of the very strong coordination affinity of water molecules with the unsaturated metal ions and the hydrogen-bonding affinity of water molecules with the free O atoms of the carboxylate groups in the framework. Therefore, it may be concluded that the close monitoring of the reversible structural transformation in all three cases will enlighten us for the understanding of crystal-to-crystal and crystal-to-amorphous transformations, which are essentially useful for the design of frameworks having the ability to interconvert in the presence of external stimuli. The TGA curves of 1′–3′ show single-step weight loss at high temperature (Figures S6–S8), indicating the complete absence of coordinated solvent molecules. When the dehydrated phases of all three compounds were exposed to water vapor environment for 7 days, they returned to their original crystalline phases, indicating the reversible nature of the structural transformations even in the case of 3′, which is basically an unusual amorphous-to-crystal transformation. Nevertheless, we also exposed the dehydrated phases of above-mentioned three compounds (1′–3′) to different polar coordinating solvents (MeOH, EtOH, and THF), but surprisingly, we could not observe any structural change in 1′–3′ upon exposure to these solvents (Figures S12–S14). The above results reveal that the reversible structural changes observed in these compounds are highly selective for water.",10.1021/acs.cgd.6b00610
[Ba­(o-CbPhH2IDC)­(H2O)4]n<|>Compound 1<|>MOF 1,YEXNEX,Water Stability,Stable,,"The water stability of 1 was determined by refluxing the crystalline powders in boiling water for 1 d or immersing the powders in water for 7 d. As displayed in Figure a, after water treatment, the PXRD of the samples remains unchanged, which proves the water stability of the framework. Apparently, both above determinations illustrate its excellent water and chemical stability.",10.1021/acs.inorgchem.8b00806
Tb(BTC)(DMF)2·H2O<|>Complex 1,NIGFOZ,Water Stability,Stable,,"The water sorption isotherm reveals that 15 water molecules per unit cell can be adsorbed into the micropores. Thus, these could be anticipated as potential fluorescent and magnetic porous materials.",10.1021/ic061666i
Er(BTC)(DMF)2·H2O<|>Complex 4,NIGFIT,Water Stability,Stable,,"The water adsorption isotherm for complex 4 was also measured at room temperature. Type I behavior in the range P/P0 = 0−0.7 was observed, which clearly indicated that incoming guests could move into the channels and the frameworks could maintain the porosity throughout the process. The second augment of the amounts adsorbed in the range P/P0 > 0.7 can be attributed to adsorption on an external crystalline surface. At P/P0 = 0.7, the amounts of complex 4 adsorbed were 65 for water, which are equivalent to about 15 water molecules per unit cell that can be adsorbed into the micropores of dehydrated complex 4.",10.1021/ic061666i
{(MeCN)2Li(BSB)}∞,ODOVUY,Water Stability,Unstable,,"The white powder Li(BSB) dissolved in water, propanone, propan-2-ol, THF, and ethanenitrile; it was insoluble in diethyl ether, dichloromethane, trichloromethane, hexane, and toluene. Hydrolysis was observed on standing in water, as verified by 1H and 13C NMR spectroscopy, and by comparing an observed unit cell of the salicylic acid produced to the published X-ray crystal structure.",10.1021/cg010035q
{[Cd2(sdb)2(pcih)2]·2DMF·H2O}<|>1<|>1H2O,JESTIN,Water Stability,Stable,,"1. ""The water loading for 1 does not change after 35 cycles, and the MOF is hydrolytically stable up to 260 °C, which was confirmed by the quasi-equilibrated temperature-programmed desorption and adsorption (QE-TPDA) method.""
2. ""Powder X-ray diffraction (PXRD), IR spectra, and QE-TPDA analysis reveal that Cd-MOF 1 is stable in water even at high temperatures and in a weakly acidic media (approximately down to pH = 3), whereas it undergoes degradation under basic conditions.""
3. ""The analysis of the ex situ PXRD patterns of all tested samples: soaked in water, in aqueous HCl solution (pH = 5 and pH = 3), and conditioned at high RH at elevated temperature (RH = 90%, T = 60 °C) indicated retention of crystallinity.""",10.1021/acs.inorgchem.8b00078
{[Co3(Pzc)4Cl2]·2H2O}(n2)<|>complex 2,YOZROW,Water Stability,Unstable,,"1. ""With an adjustment to the molar ratio of the reactants, 3D formwork {[Co3(Pzc)4­Cl2]·2H2O}(n2) supported by guest water molecules was produced (complex2is unstable in humid air).""
2. ""We speculate that the instability of complex1is caused by the methanol molecule participating in the coordination, and the instability of2is due to the coordination of the chloride anions which are easy to decoordinate in humid condition.""",10.1021/ic502177k
{[Co(Pzc)­(HCOO)]·MeOH}(n3)<|>complex 3,YOZSAJ,Water Stability,Stable,,"The document states that complex 3 can transform to complex 4 when the guest MeOH molecules are replaced by water molecules by means of single-crystal-to-single-crystal transformation. This indicates that the structure retains its crystallinity and properties even when methanol is replaced by water, suggesting stability in the presence of water.",10.1021/ic502177k
{[Cd(bpydb)]·6H2O}(n1)<|>compound 1,ZASJAG,Water Stability,Stable,,"1. ""Once isolated, 1 is found to be air-stable and insoluble in common organic solvents as well as in water.""
2. ""The water adsorption experiment was run three times on the same sample to estimate the water affinity and stability of 1 against moisture.""
3. ""The reproducibility of the isotherms without changes in uptake or isotherm shape points at the high stability of the sample.""",10.1021/ic101412p
[Cu(pmc)2]·2/3DMF<|>3·DMF<|>3,AMAFOK,Water Stability,Unstable,,"The hygroscopic stability of the porous material3was examined by soaking the crystals in deionized water.The dark-purple crystals of3gradually crack down to light-blue specimens within hours. Some crystals of the hydrolyzed product were large enough to determine the X-ray structure, and they were found to be a simple complex [Cu(pmc)2(OH2)4],where pmc is an N-bonded monodentate ligand (Figure). The hydrolysis product, however, regenerates3when it was heated to 100 °C in DMF.",10.1021/ic1012523
[Cu(pmc)2]·toluene<|>3·toluene,AMAGAX,Water Stability,Unstable,,"The hygroscopic stability of the porous material3was examined by soaking the crystals in deionized water.The dark-purple crystals of3gradually crack down to light-blue specimens within hours. Some crystals of the hydrolyzed product were large enough to determine the X-ray structure, and they were found to be a simple complex [Cu(pmc)2(OH2)4],where pmc is an N-bonded monodentate ligand (Figure). The hydrolysis product, however, regenerates3when it was heated to 100 °C in DMF. Both the hydrolyzed complex and regenerated3are phase-pure according to PXRD analysis. Therefore,3may be viewed as a “recyclable” porous material. We note that the hydrolysis experiment simulates rather an extreme condition aimed to test the stability of3against atmospheric moisture.",10.1021/ic1012523
SBMOF-1<|>Ca(sdb),OKAYIK,Water Stability,Stable,,SBMOF-1 does not adsorb water from the air and remains crystalline after exposure to 75% relative humidity for at least 2 months of storage.,10.1021/acs.chemmater.5b03792
SBMOF-2<|>Ca(tcpb),OKAYUW,Water Stability,Stable,,"SBMOF-2 is stable in both air and humidity. Similar to SBMOF-1, after removal of the native solvent water, SBMOF-2 does not saturate with the water vapor from the atmosphere as evident for thermogravimetric and diffraction experiments.",10.1021/acs.chemmater.5b03792
MOF-Eu-TPPS<|>as-prepared MOF-Eu-TPPS,DIBJIJ,Water Stability,Unstable,,"1. No immediate structural change indicated by powder XRD occurs upon cooling the sample to room temperature; however, when the sample is left in ambient conditions for 1 h, the original XRD patterns of as-prepared MOF-Eu-TPPS reappear because of rehydration of the activated material through ambient humidity. 2. The dehydration–rehydration process can be reversed, as presented in Figure, at the expense of sample crystallinity and of the reappearance rate of the original structure (the rate considerably decreases after the fourth cycle, and more than 24 h is needed for full conversion to the as-prepared structure).",10.1021/ic400182u
MOF-Eu-TPPS<|>dehydrated MOF-Eu-TPPS,DIBJEF,Water Stability,Unstable,,"No immediate structural change indicated by powder XRD occurs upon cooling the sample to room temperature; however, when the sample is left in ambient conditions for 1 h, the original XRD patterns of as-prepared MOF-Eu-TPPS reappear because of rehydration of the activated material through ambient humidity. The dehydration–rehydration process can be reversed, as presented in Figure, at the expense of sample crystallinity and of the reappearance rate of the original structure (the rate considerably decreases after the fourth cycle, and more than 24 h is needed for full conversion to the as-prepared structure).",10.1021/ic400182u
[In(OH)L]<|>[In(OH)(C17H8F6O4)],CIXDUJ,Water Stability,Stable,,"These new Lewis heterogeneous catalysts are stable in both water and organic solvents, being easily recovered by filtration and reused at least in four cycles without loss of yield or selectivity.",10.1021/cm071079a
[Dy(TDC)(ox)0.5(H2O)2]·(H2O)<|>compound 5,AVUKEI,Water Stability,Stable,,"The MOF is insoluble in water and common organic solvents, such as chloroform, toluene, acetonitrile, DMF, methanol, and ethanol.",10.1021/cg101736e
[Gd(TDC)(ox)0.5(H2O)2]·(H2O)<|>compound 4,AVUJOR,Water Stability,Stable,,"The MOF is insoluble in water and common organic solvents, such as chloroform, toluene, acetonitrile, DMF, methanol, and ethanol.",10.1021/cg101736e
TMOF-1<|>[Cu­(bpy)2(EDS)],EXEQIJ,Water Stability,Stable,,"The chemical stability of TMOF-1 was examined in polar and nonpolar boiling solvents (water, methanol, and n-hexane), a HCl solution (pH 3), and a NaOH solution (pH 10). After incubation in these solutions for 24 h, the high crystallinity of the primitive-cubic topology is retained well, as evidenced by PXRD patterns (Figure). Besides PXRD, a <10 wt % decrease in mass was observed after the thermal and chemical treatment, which is likely due to the solvent loss after activation (Table S1). To further confirm the strong water-stable nature of TMOF-1, in situ optical microscopy was employed to monitor the crystallinity throughout the immersion of MOF in an acid/base solution (Figure S8). The size and morphology did not change in an observable manner. Importantly, the porosity of the material was largely retained after refluxing in water, evidenced by BET measurements (238 m2/g) using Ar at 87 K (Figure S9).",10.1021/acs.chemmater.6b02511
{[Cu(tnH+)2][Ru(CN)6]}∞<|>compound 2,OFIWEG,Water Stability,Stable,,"1. ""The unique property of this assembly is the complete reversibility of the molecular structure, as well as the color change, under a simple dehydration−rehydration process.""
2. ""When the green powder (that is,2) was exposed to water the color changed to blue, suggesting a change in the coordination geometry of the metal center.""
3. ""The reversibility of this process was also confirmed by in situ synchrotron powder X-ray diffraction (PXRD) measurements.""
4. ""It was possible to repeat this process a number of times without any loss of crystallinity of either compounds,1or2.""",10.1021/cg701049n
CP1<|>[{Zn(μ-3bpmu)Cl2}],GEQTIH,Water Stability,Unstable,,"The crystals of the rest of the coordination compounds were found to be unstable outside the corresponding mother liquors; therefore, no consistent elemental analysis data could be obtained. All these crystals were highly unstable outside the mother liquor at room temperature, presumably because of the rapid solvent loss.",10.1021/cg301190d
"M(4,4‘-bpy)(phth)(H2O)<|>complex 1a",NEDXOJ,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/ic000434v
"M(4,4‘-bpy)(phth)(H2O)<|>complex 1b",NEDXEZ,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/ic000434v
"SLUG-21<|>Ag2(4,4′-bipy)2(O3SCH2CH2SO3)·4H2O",SUSYAH,Water Stability,Stable,,"All of the products are chemically stable in deionized water and organic solvents, including chloroform, toluene, and acetonitrile. Crystallinity was not lost after immersing SLUG-21 into unbuffered water or other common organic solvents for several weeks.",10.1021/cm9032308
[Ag4(btec)]<|>complex 3,JEXLEG,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/acs.cgd.7b01319
ASNa dihydrate<|>sodium acetylsalicylate dihydrate,PIKZAN,Water Stability,Unstable,,"The inclusion of the water molecules in the crystalline structure is probably the cause of the high instability of this solid form, because it can readily catalyze the hydrolysis leading to the deacetylation (Scheme). This instability is the reason that other analyses routinely used to study pharmaceutical hydrates, such as DVS, critical water activity determination, or variable humidity PXPD, could not be performed.",10.1021/acs.cgd.8b00718
ASNa 2:1 hemihydrate<|>sodium acetylsalicylate 2:1 hemihydrate,PIKYOA,Water Stability,Unstable,,"1. ""The inclusion of the water molecules in the crystalline structure is probably the cause of the high instability of this solid form, because it can readily catalyze the hydrolysis leading to the deacetylation (Scheme).""
2. ""As could be expected, the highly unstable structure of ASNa 2:1 hemihydrate exhibits the lowest density.""",10.1021/acs.cgd.8b00718
Tb-L<|>Ln-L,VAHTUW,Water Stability,Stable,,"Remarkably, these three MOFs were found to be stable even in water and acidic buffer solutions of pH 3, which attests to their exceptional chemical stabilities.",10.1021/acs.cgd.5b01617
Sr-L,VAHTOQ,Water Stability,Unstable,,"Although the structures of Zn-L, Cd-L, Pb-L, and Sr-L were found to collapse upon solvent removal, the lanthanide MOMs were found to be stable. In particular, Tb-L, Eu-L, and Sm-L were found to exhibit very good stabilities in different organic solvents such as DCM, MeOH, acetone, etc., Figureb–d. Remarkably, these three MOFs were found to be stable even in water and acidic buffer solutions of pH 3, which attests to their exceptional chemical stabilities. Furthermore, the lanthanide MOFs were found to be stable even after solvent evacuation. This is very important given that the structures often collapse upon removal of the ancillary ligands, namely, water and DMF in most cases.",10.1021/acs.cgd.5b01617
[Zn2(pdc)2(dmf)2]·nndmf<|>compound 1<|>phase I,KIYQEQ,Water Stability,Unstable,,"1. PXRD examination revealed the crystalline phase transformations of 3D frameworks into 0D coordination network because of the replacement of dmfmolecules coordinated with Zn(II) by atmospheric water.
2. Our examinations demonstrate that phase I undergoes a transformation into phase III under ambient conditions, when contacted with atmospheric humidity.",10.1021/cg401106z
{[Cd­(BIPA)­(IPA)]·DMF}<|>1,REXZAY01,Water Stability,Stable,,"PXRD patterns clearly showed that the framework integrity of 1–3 can be well-retained in pH = 2–13 aqueous solutions (Figures S10–S12). Considering environmental security, good stability, porous, and strong luminescent properties of 1–3, we investigate their potential sensing metal ions, including Hg2+, Fe3+, Cu2+, Cd2+, Co2+, Zn2+, Ni2+, Ca2+, Ag+, Na+, Al3+, K+, Mg2+, and Pb2+.",10.1021/acs.inorgchem.8b00272
[NH4][Zn(TCEP)]·4H2O<|>Zn(TCEP),XACFAJ,Water Stability,Stable,,"The crystals of Zn(II) and Cd(II) complexes, once precipitated with methanol, are water insoluble and nonhygroscopic.",10.1021/ic025969y
2<|>2′,FIFMOY,Water Stability,Unstable,,"The first step (1–2–1′) between structures a and b involves desorption/adsorption of free water molecules and ferroelectricity disappearing/appearing. The second step [2–3–(2′)1′] between structures b and c involves desorption/adsorption of aqua ligands, transformation of coordination environment of Co1 from octahedral to trigonal-bipyramidal, and color change of the single crystal from red to dark brown.",10.1021/ja403449k
{[Mn2Cl2(BTC)4/3]·(Me2NH2)+2·4/3H2O}<|>2<|>compound 2,ABAYIO,Water Stability,Unstable,,"The results show that the tested sample changed and that complex 2 displays poor cycling capability and stability, leading to difficulty in obtaining the temperature-dependent proton conductivities and Ea value.",10.1021/acs.cgd.6b00776
[UO2(DmBiPDA)]n,BOFTOI,Water Stability,Unstable,,"BiPDA is nearly insoluble in water (solubility less than 1 × 10–4M), and thus no corresponding data are available in the literature. However, there is no specific mention of the water stability of [UO2(DmBiPDA)]n in the document. Therefore, based on the lack of information, the water stability is considered 'Unstable' as there is no evidence to suggest it retains its properties after exposure to water.",10.1021/acs.inorgchem.9b00319
[Zn(Let)(bpy)]<|>compound 1,FANNAM,Water Stability,Stable,,"The structures were maintained even under refluxing water for 7 days (Figure S22). The observed structural stability under such harsh aqueous conditions stems from the nonporous trait of the frameworks. The side groups (ethoxy or propoxy groups) and nonporosity prevent water molecules from accessing the metal core and the interior of the network, thus enhancing resistance to hydrolysis.",10.1021/acs.inorgchem.6b02178
"{[Zn­(4,4′-AP)­(5-AIA)].(DMF)0.5}<|>compound 1",AHOMOB01,Water Stability,Stable,,"1. ""This as-synthesized compound exhibits excellent water stability and can selectively probe Hg­(II) ion in the presence of other interfering metal ions in picomolar (femtogram) limit.""
2. ""The PXRD pattern of compound1was collected after soaking the compound in water and some organic solvents (Figures S3 and S4). The pattern was matching with the simulated one, indicating the structural stability in water and some organic solvents.""
3. ""The ICP-AES data of the supernatant were also collected after 24 h soaking in water, and it was found that compound1was stable without degradation (Table S5).""",10.1021/acs.inorgchem.8b02898
Cu(Qc)<|>[Cu(Qc)2],ARAJUA01,Water Stability,Stable,,Activated Cu(Qc) shows remarkable moisture stability under 98% relatively humidity (2Figure S25). The results fully support the potential of Cu(Qc) in practical C22H6/C2H4 separation at ambient pressure.,10.1021/jacs.8b07563
